event_slug,event_question,market_id,market_slug,market_question,market_type,outcomes,token_ids,created_at,closed_time,game_start_time,volume
,,826907,nba-uta-nyk-2025-12-05-spread-home-16pt5,Spread: Knicks (-16.5),spreads,Knicks|Jazz,107169737041874661488797805194144985950571688989614475439695245172770377919342|106029167670558688404945412777470901424582858376083486839810753508755605485861,2025-12-05T01:10:32.581258Z,2025-12-06 05:07:35+00,2025-12-06 00:30:00+00,67880.232197
,,826908,nba-uta-nyk-2025-12-05-total-240pt5,Jazz vs. Knicks: O/U 240.5,totals,Over|Under,86282158567813128092425754430855852359567888666639999416689014797420395207062|86005833981865870501711275904881074915899779966628816274411295816837584116137,2025-12-05T01:10:32.589232Z,2025-12-06 05:00:37+00,2025-12-06 00:30:00+00,60869.269711
,,826911,nba-mia-orl-2025-12-05-spread-home-5pt5,Spread: Magic (-5.5),spreads,Magic|Heat,113419956096946859374628892442851885521825098885256773349786533429035555588931|17760885516919059835062277868766933527789194633810433310330997145391581482060,2025-12-05T01:10:33.098869Z,2025-12-06 04:39:53+00,2025-12-06 00:00:00+00,64710.939067
,,827356,nba-dal-okc-2025-12-05-spread-home-15pt5,Spread: Thunder (-15.5),spreads,Thunder|Mavericks,46927646640506036087226471707195389988068057823588010136788974430772904738362|44574492794166421188755736921431323102135974985240712453998141278853532296259,2025-12-05T02:10:29.928553Z,2025-12-06 07:11:37+00,2025-12-06 02:30:00+00,345040.88252
,,827357,nba-dal-okc-2025-12-05-total-227pt5,Mavericks vs. Thunder: O/U 227.5,totals,Over|Under,88391472426772514500540598904274199220805726206751509782824408947626263487149|76948675849817117489663277567452509465769367782941609413935249493352966023781,2025-12-05T02:10:29.942178Z,2025-12-06 07:09:45+00,2025-12-06 02:30:00+00,55783.50309
,,827360,nba-phx-hou-2025-12-05-spread-home-10pt5,Spread: Rockets (-10.5),spreads,Rockets|Suns,95056396028749803972311833645839366802807076210658270182786971004046721537004|12575329075705448174800968074478320202109539561236113348619298276894426663043,2025-12-05T02:10:30.420944Z,2025-12-06 05:43:31+00,2025-12-06 01:00:00+00,72100.154173
,,827361,nba-phx-hou-2025-12-05-total-222pt5,Suns vs. Rockets: O/U 222.5,totals,Over|Under,6848074886145181576569841665380040655597291241162885125859415016877853868324|33798781824640993649783263457993251653910111050439177595120401425193353367490,2025-12-05T02:10:30.428971Z,2025-12-06 05:42:33+00,2025-12-06 01:00:00+00,170305.321282
,,827367,nba-uta-nyk-2025-12-05-spread-home-15pt5,Spread: Knicks (-15.5),spreads,Knicks|Jazz,76258805070093032585128650768316105761001068113366849183408943845400935851013|42935438629707429243176927593168973520775140721384301464737775182120353653449,2025-12-05T02:10:32.736739Z,2025-12-06 05:07:37+00,2025-12-06 00:30:00+00,160878.700533
,,827854,nba-phi-mil-2025-12-05-spread-away-1pt5,Spread: 76ers (-1.5),spreads,76ers|Bucks,106164879077015610782938300173392193981290388299237088120476358745951452364687|15598158620773928685900517401552204541622957369485611469146533667836428128301,2025-12-05T03:10:34.192363Z,2025-12-06 07:39:51+00,2025-12-06 01:00:00+00,79470.828558
,,827894,nba-cha-tor-2025-12-05-spread-home-7pt5,Spread: Raptors (-7.5),spreads,Raptors|Hornets,54124048415716884521461477985537057749352946404343401957127386066645878749104|33613768153546947562117193470892823529454723037622872210260415643242334477503,2025-12-05T03:10:50.367091Z,2025-12-06 05:20:37+00,2025-12-06 00:30:00+00,50911.296352
,,828488,nba-por-det-2025-12-05-spread-home-7pt5,Spread: Pistons (-7.5),spreads,Pistons|Trail Blazers,113845523996420720430791329161219466178770770852241924472548027205579281951277|58146969358828828100651587983639350678552334445843540507623585007086346314434,2025-12-05T04:11:02.869583Z,2025-12-06 05:44:29+00,2025-12-06 00:30:00+00,763402.87395
,,828523,nba-mia-orl-2025-12-05-total-242pt5,Heat vs. Magic: O/U 242.5,totals,Over|Under,101582403798329645467501131646258626714733668612080583182073967312066800060573|115097590485750854185552085669284182480905567760747014923878682700142912574228,2025-12-05T04:11:17.803718Z,2025-12-06 04:42:43+00,2025-12-06 00:00:00+00,56826.811014
,,829542,nba-por-det-2025-12-05-total-235pt5,Trail Blazers vs. Pistons: O/U 235.5,totals,Over|Under,110170788352966698912788552236898595341322558190155877977988701022825084219811|101539153981262100932017145637859241428806859627205070723210162659684679479812,2025-12-05T06:11:03.855134Z,2025-12-06 05:46:27+00,2025-12-06 00:30:00+00,76819.313667
,,832903,nba-sas-cle-2025-12-05-spread-home-4pt5,Spread: Cavaliers (-4.5),spreads,Cavaliers|Spurs,112674250796845664812951671293417390257806587768338838392958427671444828758328|88267922987062090708909722829599943283044330486756218682266211564310198443058,2025-12-05T13:11:11.899768Z,2025-12-06 05:08:35+00,2025-12-06 00:30:00+00,67965.096768
,,834451,nba-phx-hou-2025-12-05-total-220pt5,Suns vs. Rockets: O/U 220.5,totals,Over|Under,21387635020619303572844165220998708867075196105447808685132759201306349038331|65496314412984615507503088579023713065261936337085461226510322431755628703658,2025-12-05T16:10:53.140185Z,2025-12-06 05:43:29+00,2025-12-06 01:00:00+00,52492.690957
,,834464,nba-cha-tor-2025-12-05-spread-home-6pt5,Spread: Raptors (-6.5),spreads,Raptors|Hornets,57835322776454817418804598909754440401163191273583124412176681013159547471489|6717340096247853784689194592736606565657687047337758903064614089287586644461,2025-12-05T16:10:58.633451Z,2025-12-06 05:19:35+00,2025-12-06 00:30:00+00,1696290.696531
,,835128,nba-den-atl-2025-12-05-spread-away-4pt5,Spread: Nuggets (-4.5),spreads,Nuggets|Hawks,95855090520481212717678535984322206137100438072966187435390571851736251137202|82485871852122911665313254676441857365025010514261023587139799691418238839924,2025-12-05T17:11:24.159598Z,2025-12-06 05:07:43+00,2025-12-06 00:30:00+00,82326.965491
,,835129,nba-den-atl-2025-12-05-total-239pt5,Nuggets vs. Hawks: O/U 239.5,totals,Over|Under,17598039376998690845508978570090321846807017160511055018776373773652092994673|63018619801435252925405797104401278702285175376012473479813094067618528023862,2025-12-05T17:11:24.192981Z,2025-12-06 04:58:35+00,2025-12-06 00:30:00+00,64268.874036
,,836391,nba-lal-bos-2025-12-05-spread-home-8pt5,Spread: Celtics (-8.5),spreads,Celtics|Lakers,38893009256599305045481029676233865643335593851116947769765360963825999588492|10534854467184918251392314226649839774708436453396488643157649767528674877780,2025-12-05T19:11:34.638549Z,2025-12-06 04:38:51+00,2025-12-06 00:00:00+00,145560.056976
,,838789,nba-mia-orl-2025-12-05-spread-home-6pt5,Spread: Magic (-6.5),spreads,Magic|Heat,22538759888168279968183705923042868315583740113258256958406757270530251363472|86204297588378435251245666720164908531827292851174175523288660390855633825348,2025-12-05T22:11:30.048317Z,2025-12-06 08:36:07+00,2025-12-06 00:00:00+00,400574.562135
